Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
UBER_112919C32,442:27.01:44941622:0.1:2,440:27.14:41300937:0.05:9,431:26.7:32448063:0.06:57,431:26.71:33124982:0.03:1,430:25.99:27991933:0.03:5,430:26.79:41353173:0.03:0,430:26.75:37309667:0.04:22,432:28.03:52741127:0.1:23,442:29.46:55638958:0.09:197,[604:29.56:44372725:0.1:441
UBER_120619C20,5:27.01:44941622:7.2:0,5:27.14:41300937:7.0:1,5:26.7:32448063:7.0:0,5:26.71:33124982:6.6:2,5:25.99:27991933:6.6:0,5:26.79:41353173:6.5:3,7:26.75:37309667:6.9:1,7:28.03:52741127:7.05:0,U:29.46:55638958:U:U,7:29.56:44372725:9.71:2
UBER_120619C21,3:27.01:44941622:6.1:0,3:27.14:41300937:6.12:3,6:26.7:32448063:6.12:0,6:26.71:33124982:6.12:0,6:25.99:27991933:5.3:1,7:26.79:41353173:5.71:2,7:26.75:37309667:5.79:6,4:28.03:52741127:6.9:1,U:29.46:55638958:U:U,4:29.56:44372725:6.9:0
UBER_120619C22,28:27.01:44941622:5.1:0,28:27.14:41300937:5.1:0,28:26.7:32448063:5.1:0,28:26.71:33124982:5.1:0,28:25.99:27991933:4.1:61,88:26.79:41353173:4.5:61,88:26.75:37309667:4.5:0,88:28.03:52741127:4.5:0,U:29.46:55638958:U:U,88:29.56:44372725:4.5:0
UBER_120619C23,2:27.01:44941622:4.3:0,2:27.14:41300937:3.7:4,6:26.7:32448063:4.5:1,6:26.71:33124982:4.5:0,6:25.99:27991933:4.5:0,6:26.79:41353173:4.5:0,6:26.75:37309667:3.9:125,128:28.03:52741127:5.1:45,U:29.46:55638958:U:U,120:29.56:44372725:6.1:0
UBER_120619C24,4:27.01:44941622:3.56:0,4:27.14:41300937:2.9:1,5:26.7:32448063:2.9:0,5:26.71:33124982:2.9:0,5:25.99:27991933:2.9:0,5:26.79:41353173:3.0:19,20:26.75:37309667:2.7:20,23:28.03:52741127:2.7:0,23:29.46:55638958:5.6:17,24:29.56:44372725:5.6:0
UBER_120619C25,74:27.01:44941622:2.55:12,72:27.14:41300937:2.55:0,72:26.7:32448063:2.65:2,72:26.71:33124982:1.85:265,117:25.99:27991933:1.65:14,129:26.79:41353173:2.1:53,137:26.75:37309667:1.9:2,142:28.03:52741127:3.02:22,141:29.46:55638958:4.41:7,[142:29.56:44372725:4.55:2
UBER_120619C25.5,83:27.01:44941622:2.5:15,68:27.14:41300937:2.13:4,68:26.7:32448063:2.0:1,69:26.71:33124982:1.6:20,89:25.99:27991933:1.3:15,104:26.79:41353173:1.72:18,117:26.75:37309667:1.72:0,117:28.03:52741127:2.65:11,113:29.46:55638958:4.0:5,[113:29.56:44372725:4.4:6
UBER_120619C26,89:27.01:44941622:2.15:30,89:27.14:41300937:1.37:8,89:26.7:32448063:1.69:7,91:26.71:33124982:1.41:48,103:25.99:27991933:1.05:35,117:26.79:41353173:1.45:15,124:26.75:37309667:1.45:28,126:28.03:52741127:2.4:66,117:29.46:55638958:3.68:38,[106:29.56:44372725:3.82:20
UBER_120619C26.5,155:27.01:44941622:1.95:5,160:27.14:41300937:1.6:51,163:26.7:32448063:1.37:7,167:26.71:33124982:1.19:68,178:25.99:27991933:0.81:141,280:26.79:41353173:1.1:442,514:26.75:37309667:1.18:166,625:28.03:52741127:2.0:32,608:29.46:55638958:3.0:212,[508:29.56:44372725:3.23:167
