Symbol,20191104,20191106,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
QQQ_120619P195.5,161:200.2649,232:199.76,239:201.23:15155921:1.25:32,258:200.96:10128652:1.28:22,261:201.54:14695374:1.02:8,263:201.59:15792836:1.2:6,263:201.43:16903669:1.1:70,263:202.91:18151654:0.74:10,U:203.07:18408797::,272:202.07:32364255:0.87:190,453:0:0:0.87:0,[453:201.83:17186554:0.55:7
QQQ_120619P196,229:200.2649,306:199.76,350:201.23:15155921:1.45:45,391:200.96:10128652:1.35:20,407:201.54:14695374:1.17:61,402:201.59:15792836:1.32:3,403:201.43:16903669:1.13:71,469:202.91:18151654:0.78:49,U:203.07:18408797::,U:202.07:32364255:U:U,718:0:0:0.75:851,[1515:201.83:17186554:0.56:147
QQQ_120619P196.5,662:200.2649,697:199.76,789:201.23:15155921:1.54:109,695:200.96:10128652:1.47:26,704:201.54:14695374:1.4:27,696:201.59:15792836:1.44:19,687:201.43:16903669:1.44:0,687:202.91:18151654:0.83:32,U:203.07:18408797::,730:202.07:32364255:0.96:80,732:0:0:0.81:104,[734:201.83:17186554:0.67:13
QQQ_120619P197,365:200.2649,1346:199.76,1283:201.23:15155921:1.55:61,1283:200.96:10128652:1.55:62,1239:201.54:14695374:1.35:32,1232:201.59:15792836:1.41:42,1243:201.43:16903669:1.65:51,1231:202.91:18151654:0.94:24,1242:203.07:18408797:0.71:3092,3342:202.07:32364255:0.82:243,3427:0:0:0.88:149,[3497:201.83:17186554:0.67:105
QQQ_120619P197.5,788:200.2649,790:199.76,842:201.23:15155921:1.67:42,835:200.96:10128652:1.67:43,820:201.54:14695374:1.6:60,790:201.59:15792836:1.46:14,791:201.43:16903669:1.51:14,800:202.91:18151654:1.01:57,800:203.07:18408797:0.79:7,831:202.07:32364255:1.0:680,U:0:0:U:U,[970:201.83:17186554:0.81:147
QQQ_120619P198,886:200.2649,928:199.76,1018:201.23:15155921:1.79:186,1124:200.96:10128652:1.85:126,1103:201.54:14695374:1.75:31,1121:201.59:15792836:1.72:36,1137:201.43:16903669:1.62:242,1230:202.91:18151654:1.06:276,1263:203.07:18408797:0.87:2314,3173:202.07:32364255:1.02:288,3144:0:0:1.09:284,[3237:201.83:17186554:0.86:1324
QQQ_120619P198.5,480:200.2649,482:199.76,531:201.23:15155921:2.24:8,539:200.96:10128652:2.11:2,539:201.54:14695374:1.55:50,549:201.59:15792836:1.94:16,564:201.43:16903669:1.63:4,566:202.91:18151654:1.2:55,564:203.07:18408797:0.95:18,559:202.07:32364255:1.15:49,565:0:0:1.16:101,[583:201.83:17186554:1.01:39
QQQ_120619P199,209:200.2649,372:199.76,1961:201.23:15155921:2.05:203,2101:200.96:10128652:2.1:20,2107:201.54:14695374:2.02:95,2117:201.59:15792836:1.85:162,2168:201.43:16903669:1.78:93,2184:202.91:18151654:1.22:158,2169:203.07:18408797:1.02:24,U:202.07:32364255:U:U,2232:0:0:1.29:358,[2339:201.83:17186554:1.16:589
QQQ_120619P200,136:200.2649,395:199.76,606:201.23:15155921:2.37:6318,6390:200.96:10128652:2.49:460,6438:201.54:14695374:2.21:481,6481:201.59:15792836:2.21:712,6482:201.43:16903669:2.07:137,6450:202.91:18151654:1.45:1641,7596:203.07:18408797:1.21:411,8050:202.07:32364255:1.44:2716,8453:0:0:1.67:36784,[40365:201.83:17186554:1.26:3591
QQQ_120619P201,35:200.2649,150:199.76,427:201.23:15155921:2.73:166,472:200.96:10128652:2.79:116,512:201.54:14695374:2.49:509,805:201.59:15792836:2.49:524,948:201.43:16903669:2.46:479,1113:202.91:18151654:1.71:217,1099:203.07:18408797:1.49:98,1173:202.07:32364255:1.71:1550,2145:0:0:1.86:3220,[4440:201.83:17186554:1.57:2040
QQQ_120619P202,37:200.2649,104:199.76,158:201.23:15155921:3.19:6135,1608:200.96:10128652:3.25:2443,3241:201.54:14695374:2.9:3641,2380:201.59:15792836:3.07:2188,3344:201.43:16903669:2.88:3209,2831:202.91:18151654:2.02:416,2985:203.07:18408797:1.75:3383,3321:202.07:32364255:2.08:1277,3467:0:0:2.31:1907,[4482:201.83:17186554:1.91:1902
QQQ_120619P202.5,51:200.2649,51:199.76,77:201.23:15155921:3.42:91,130:200.96:10128652:3.57:6,132:201.54:14695374:2.95:98,228:201.59:15792836:3.47:79,264:201.43:16903669:3.24:173,363:202.91:18151654:2.25:222,426:203.07:18408797:2.01:214,U:202.07:32364255:U:U,773:0:0:2.5:1422,[1939:201.83:17186554:2.41:80
QQQ_120619P203,211:200.2649,213:199.76,245:201.23:15155921:3.63:302,184:200.96:10128652:3.78:82,179:201.54:14695374:3.06:21,179:201.59:15792836:3.72:246,210:201.43:16903669:3.3:9,216:202.91:18151654:2.43:176,253:203.07:18408797:2.13:335,897:202.07:32364255:2.47:1483,851:0:0:2.74:601,[1137:201.83:17186554:2.42:384
