Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
JBL_112919P41,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,U:38.94:770105:U:U,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_112919P41.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_112919P42,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_112919P42.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_112919P43.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,U:38.94:770105:U:U,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_120619P33.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,0:38.64:777620:0.0:0
JBL_120619P34,1:38.45,1:38.93,1:39.12,1:39.18:1975398:0.37:0,1:39.26:834553:0.37:0,1:39.59:870370:0.37:0,1:39.1:1020665:0.37:0,1:39.34:929455:0.37:0,1:38.69:1013846:0.37:0,1:39.02:1174741:0.37:0,1:75.43:212417:0.37:0,1:38.73:1214584:0.37:0,U:38.94:770105:U:U,1:38.76:1014804:0.37:0,[1:38.64:777620:0.37:0
JBL_120619P34.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.07:1,1:39.02:1174741:0.01:1,1:75.43:212417:0.01:0,1:38.73:1214584:0.01:0,1:38.94:770105:0.01:0,1:38.76:1014804:0.01:0,[1:38.64:777620:0.01:0
JBL_120619P35,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.05:1,1:39.1:1020665:0.05:0,1:39.34:929455:0.05:0,1:38.69:1013846:0.05:0,1:39.02:1174741:0.05:0,1:75.43:212417:0.05:0,1:38.73:1214584:0.05:0,1:38.94:770105:0.05:0,1:38.76:1014804:0.05:0,[1:38.64:777620:0.05:0
JBL_120619P35.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.09:7,7:39.1:1020665:0.09:0,7:39.34:929455:0.09:0,7:38.69:1013846:0.09:0,7:39.02:1174741:0.09:0,7:75.43:212417:0.1:1,7:38.73:1214584:0.1:0,7:38.94:770105:0.1:0,7:38.76:1014804:0.1:0,[7:38.64:777620:0.1:0
