Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120
CRM_121319C175,1:161.11:3265029:1.2:1,2:161.78:3536960:1.2:0,2:162.86:3697018:1.31:6,5:162.6:5383958:1.22:15,20:163.05:3705452:1.34:1,20:163.21:3653186:1.05:12,30:162.77:5557347:1.07:6,35:163.96:4950800:1.53:5,U:300.72:1153529:U:U
CRM_121319C177.5,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.0:0,0:163.05:3705452:0.87:6,6:163.21:3653186:0.87:0,6:162.77:5557347:0.71:1,7:163.96:4950800:0.71:0,7:300.72:1153529:0.82:129
CRM_121319C180,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.57:16,16:163.05:3705452:0.61:4,20:163.21:3653186:0.49:1,21:162.77:5557347:0.49:0,21:163.96:4950800:0.55:1,22:300.72:1153529:0.55:0
CRM_121319C182.5,15:161.11:3265029:0.41:0,15:161.78:3536960:0.41:0,15:162.86:3697018:0.41:0,15:162.6:5383958:0.41:0,15:163.05:3705452:0.41:0,15:163.21:3653186:0.41:0,15:162.77:5557347:0.33:36,44:163.96:4950800:0.5:1,U:300.72:1153529:U:U
CRM_121319C185,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.0:0,0:163.05:3705452:0.0:0,0:163.21:3653186:0.0:0,0:162.77:5557347:0.24:7,7:163.96:4950800:0.24:0,7:300.72:1153529:0.22:5
CRM_122019C115,30:161.11:3265029:34.35:0,30:161.78:3536960:34.35:0,30:162.86:3697018:34.35:0,30:162.6:5383958:34.35:0,30:163.05:3705452:34.35:0,30:163.21:3653186:34.35:0,30:162.77:5557347:34.35:0,30:163.96:4950800:34.35:0,30:300.72:1153529:34.35:0
CRM_122019C120,28:161.11:3265029:41.29:26,44:161.78:3536960:42.5:1,44:162.86:3697018:42.5:0,44:162.6:5383958:44.03:3,47:163.05:3705452:44.03:0,47:163.21:3653186:42.5:15,62:162.77:5557347:42.5:0,62:163.96:4950800:42.5:0,62:300.72:1153529:42.5:0
CRM_122019C125,32:161.11:3265029:19.9:0,32:161.78:3536960:19.9:0,32:162.86:3697018:19.9:0,32:162.6:5383958:19.9:0,32:163.05:3705452:19.9:0,32:163.21:3653186:19.9:0,32:162.77:5557347:19.9:0,32:163.96:4950800:19.9:0,32:300.72:1153529:19.9:0
CRM_122019C130,107:161.11:3265029:30.77:0,107:161.78:3536960:30.77:0,107:162.86:3697018:30.77:0,107:162.6:5383958:30.77:0,107:163.05:3705452:30.77:0,107:163.21:3653186:33.2:3,109:162.77:5557347:33.2:0,109:163.96:4950800:33.2:0,109:300.72:1153529:33.2:0
CRM_122019C135,58:161.11:3265029:25.68:1,58:161.78:3536960:27.62:3,58:162.86:3697018:27.62:0,58:162.6:5383958:27.62:0,58:163.05:3705452:29.05:2,59:163.21:3653186:29.05:0,59:162.77:5557347:29.05:0,59:163.96:4950800:29.05:0,59:300.72:1153529:29.05:0
