Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120
CRM_120619P165,50:161.11:3265029:7.8:41,91:161.78:3536960:7.13:3,92:162.86:3697018:6.0:110,149:162.6:5383958:6.0:22,150:163.05:3705452:5.75:35,159:163.21:3653186:5.55:3,159:162.77:5557347:5.86:271,197:163.96:4950808:5.37:76,251:300.72:1153529:4.95:320
CRM_120619P167.5,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.0:0,1:163.05:3705452:0.0:0,1:163.21:3653186:0.0:0,1:162.77:5557347:7.35:2,3:163.96:4950808:6.65:11,14:300.72:1153529:5.64:13
CRM_120619P170,18:161.11:3265029:11.2:0,18:161.78:3536960:10.8:1,19:162.86:3697018:10.8:0,19:162.6:5383958:9.55:3,21:163.05:3705452:8.95:1,22:163.21:3653186:8.95:0,22:162.77:5557347:8.65:8,25:163.96:4950808:9.15:3,28:300.72:1153529:7.9:50
CRM_120619P172.5,30:161.11:3265029:13.45:0,30:161.78:3536960:13.0:9,39:162.86:3697018:13.0:0,39:162.6:5383958:13.0:0,39:163.05:3705452:10.75:16,51:163.21:3653186:10.85:20,60:162.77:5557347:10.7:4,64:163.96:4950808:11.2:4,64:300.72:1153529:10.3:25
CRM_120619P175,17:161.11:3265029:17.35:0,17:161.78:3536960:17.35:0,17:162.86:3697018:17.35:0,17:162.6:5383958:13.2:5,22:163.05:3705452:13.2:0,22:163.21:3653186:13.2:0,22:162.77:5557347:13.2:0,22:163.96:4950808:13.2:0,22:300.72:1153529:10.5:2
CRM_120619P177.5,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.0:0,0:163.05:3705452:0.0:0,0:163.21:3653186:0.0:0,0:162.77:5557347:0.0:0,0:163.96:4950808:0.0:0,0:300.72:1153529:13.45:10
CRM_120619P180,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.0:0,0:163.05:3705452:0.0:0,0:163.21:3653186:0.0:0,0:162.77:5557347:0.0:0,0:163.96:4950808:0.0:0,U:300.72:1153529:U:U
CRM_120619P182.5,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.0:0,0:163.05:3705452:0.0:0,0:163.21:3653186:20.1:5,5:162.77:5557347:20.1:0,5:163.96:4950808:20.1:0,5:300.72:1153529:20.1:0
CRM_120619P185,0:161.11:3265029:0.0:0,0:161.78:3536960:0.0:0,0:162.86:3697018:0.0:0,0:162.6:5383958:0.0:0,0:163.05:3705452:0.0:0,0:163.21:3653186:0.0:0,0:162.77:5557347:0.0:0,0:163.96:4950808:0.0:0,0:300.72:1153529:0.0:0
CRM_121319P145,11:161.11:3265029:1.93:0,11:161.78:3536960:1.93:0,11:162.86:3697018:0.86:8,16:162.6:5383958:0.9:2,16:163.05:3705452:0.81:2,18:163.21:3653186:0.68:1,19:162.77:5557347:0.68:1,:163.96:4950808:U:U,20:300.72:1153529:0.44:3
