Symbol,20191030,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
PFE_122019P30,2370:38.48,2387:36.93:11900287:0.04:0,2387:36.97:12644366:0.01:20,2402:36.6:24554579:0.01:0,2402:36.55:23893614:0.03:5,2402:37.28:34345742:0.03:0,2402:134.06:3619873:0.03:0,U:37.08:13118292:U:U,2402:37.74:19869602:0.03:0,2402:38.33:24233217:0.01:50
PFE_122019P31,584:38.48,593:36.93:11900287:0.05:0,593:36.97:12644366:0.05:0,593:36.6:24554579:0.05:0,593:36.55:23893614:0.03:5,588:37.28:34345742:0.03:10,588:134.06:3619873:0.03:0,U:37.08:13118292:U:U,573:37.74:19869602:0.02:0,573:38.33:24233217:0.02:0
PFE_122019P32,4675:38.48,4402:36.93:11900287:0.04:7,4402:36.97:12644366:0.04:0,4402:36.6:24554579:0.04:0,4402:36.55:23893614:0.04:60,4402:37.28:34345742:0.04:1500,5633:134.06:3619873:0.04:4,5637:37.08:13118292:0.03:170,U:37.74:19869602:U:U,5777:38.33:24233217:0.03:7
PFE_122019P33,2962:38.48,2886:36.93:11900287:0.07:1,2885:36.97:12644366:0.06:12,2875:36.6:24554579:0.08:61,2891:36.55:23893614:0.08:38,2897:37.28:34345742:0.04:17,2880:134.06:3619873:0.05:2,2878:37.08:13118292:0.04:5,2873:37.74:19869602:0.03:20,2890:38.33:24233217:0.02:14
PFE_122019P34,13162:38.48,13811:36.93:11900287:0.11:3,13811:36.97:12644366:0.1:67,13871:36.6:24554579:0.13:167,13893:36.55:23893614:0.12:14,13890:37.28:34345742:0.07:53,13918:134.06:3619873:0.08:187,14070:37.08:13118292:0.08:129,14197:37.74:19869602:0.06:10,[14193:38.33:24233217:0.04:33
PFE_122019P35,8741:38.48,8458:36.93:11900287:0.22:10,8477:36.97:12644366:0.19:12,8484:36.6:24554579:0.24:165,8555:36.55:23893614:0.24:41,8549:37.28:34345742:0.14:169,8570:134.06:3619873:0.17:36,8497:37.08:13118292:0.14:52,8489:37.74:19869602:0.11:526,[8707:38.33:24233217:0.06:10
PFE_122019P36,5833:38.48,6000:36.93:11900287:0.39:894,6205:36.97:12644366:0.37:286,6291:36.6:24554579:0.44:567,6594:36.55:23893614:0.53:438,6838:37.28:34345742:0.25:313,6981:134.06:3619873:0.28:358,7348:37.08:13118292:0.31:145,7411:37.74:19869602:0.22:80,[7361:38.33:24233217:0.12:196
PFE_122019P37,4498:38.48,5254:36.93:11900287:0.76:3804,7931:36.97:12644366:0.71:441,8262:36.6:24554579:0.84:51,8269:36.55:23893614:0.94:210,8289:37.28:34345742:0.57:2348,10241:134.06:3619873:0.59:966,10785:37.08:13118292:0.66:487,11111:37.74:19869602:0.4:224,[11128:38.33:24233217:0.25:151
PFE_122019P38,1491:38.48,2280:36.93:11900287:1.43:59,2266:36.97:12644366:1.29:37,2280:36.6:24554579:1.5:28,2280:36.55:23893614:1.6:19,2276:37.28:34345742:0.97:102,2347:134.06:3619873:1.23:42,2303:37.08:13118292:1.22:31,2297:37.74:19869602:0.8:335,[2191:38.33:24233217:0.51:491
PFE_122019P39,4433:38.48,4485:36.93:11900287:2.24:2,4483:36.97:12644366:2.08:8,4481:36.6:24554579:2.08:0,4481:36.55:23893614:2.08:0,4481:37.28:34345742:1.75:30,4485:134.06:3619873:1.75:0,4485:37.08:13118292:1.7:0,4485:37.74:19869602:1.43:69,[4474:38.33:24233217:1.02:5
