Symbol,20191104,20191106,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
QQQ_120619C207,19:200.2649,88:199.76,376:201.23:15155921:0.71:8,383:200.96:10128652:0.58:19,385:201.54:14695374:0.69:21,403:201.59:15792836:0.64:50,426:201.43:16903669:0.54:55,470:202.91:18151654:0.63:21,473:203.07:18408797:0.69:62,489:202.07:32364255:0.26:159,576:201.7:17883581:0.24:15,[581:201.83:17186554:0.18:43
QQQ_120619C207.5,261:200.2649,261:199.76,355:201.23:15155921:0.62:18,367:200.96:10128652:0.51:8,369:201.54:14695374:0.55:3,372:201.59:15792836:0.51:94,456:201.43:16903669:0.51:0,456:202.91:18151654:0.51:0,456:203.07:18408797:0.39:1,457:202.07:32364255:0.25:46,498:201.7:17883581:0.24:5,[499:201.83:17186554:0.15:27
QQQ_120619C208,11:200.2649,23:199.76,60:201.23:15155921:0.47:12,69:200.96:10128652:0.44:40,88:201.54:14695374:0.48:261,334:201.59:15792836:0.43:3,333:201.43:16903669:0.35:24,353:202.91:18151654:0.42:2012,1315:203.07:18408797:0.42:34,1388:202.07:32364255:0.18:407,1214:201.7:17883581:0.18:72,[1213:201.83:17186554:0.11:35
QQQ_121319C195.5,0:200.2649,0:199.76,43:201.23:15155921:7.43:107,148:200.96:10128652:7.43:0,148:201.54:14695374:7.77:5,153:201.59:15792836:7.86:16,169:201.43:16903669:7.02:11,180:202.91:18151654:8.31:1,181:203.07:18408797:8.31:0,185:202.07:32364255:7.72:9,192:201.7:17883581:7.72:0,192:201.83:17186554:6.96:10
QQQ_121319C196,3:200.2649,2:199.76,60:201.23:15155921:7.32:132,192:200.96:10128652:6.98:1,192:201.54:14695374:7.84:12,204:201.59:15792836:7.29:31,235:201.43:16903669:7.28:78,310:202.91:18151654:7.28:0,310:203.07:18408797:7.4:1,311:202.07:32364255:8.06:9,310:201.7:17883581:7.02:1,[310:201.83:17186554:6.8:11
QQQ_121319C196.5,2:200.2649,5:199.76,5:201.23:15155921:6.65:129,131:200.96:10128652:6.58:1,132:201.54:14695374:7.27:104,235:201.59:15792836:6.96:5,240:201.43:16903669:6.88:51,289:202.91:18151654:6.88:0,289:203.07:18408797:6.88:0,289:202.07:32364255:8.13:0,289:201.7:17883581:6.3:27,[316:201.83:17186554:6.3:0
QQQ_121319C197,98:200.2649,104:199.76,180:201.23:15155921:6.1:6,183:200.96:10128652:6.29:20,183:201.54:14695374:6.98:1,184:201.59:15792836:6.57:30,214:201.43:16903669:6.46:231,406:202.91:18151654:6.85:1,407:203.07:18408797:7.18:1,415:202.07:32364255:6.18:17,422:201.7:17883581:6.18:0,[422:201.83:17186554:5.76:2
QQQ_121319C197.5,12:200.2649,7:199.76,91:201.23:15155921:6.46:0,91:200.96:10128652:6.46:0,91:201.54:14695374:6.38:38,128:201.59:15792836:6.12:1,129:201.43:16903669:5.93:165,289:202.91:18151654:6.65:26,305:203.07:18408797:6.91:41,349:202.07:32364255:5.89:27,362:201.7:17883581:6.02:2,[362:201.83:17186554:5.38:12
QQQ_121319C198,102:200.2649,123:199.76,175:201.23:15155921:5.58:97,255:200.96:10128652:5.41:1,255:201.54:14695374:6.14:13,265:201.59:15792836:5.9:38,291:201.43:16903669:5.62:121,406:202.91:18151654:6.31:26,410:203.07:18408797:6.48:66,452:202.07:32364255:5.61:12,449:201.7:17883581:5.28:1,[449:201.83:17186554:5.18:12
QQQ_121319C198.5,136:200.2649,137:199.76,199:201.23:15155921:5.48:30,199:200.96:10128652:5.06:2,199:201.54:14695374:5.68:2,198:201.59:15792836:5.68:0,198:201.43:16903669:4.79:1,199:202.91:18151654:5.89:1,199:203.07:18408797:5.89:0,199:202.07:32364255:5.83:31,229:201.7:17883581:5.13:1,[229:201.83:17186554:4.62:27
