Symbol,20191023,20191024,20191025,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
COST_112919C302.5,159.0,161:297.05,170:296.5,173:298.94,186:295.86,187:299.63,187:297.11,177.0,189:296.82,199:299.18,190:301.57,198:305.21:2399347:5.85:74,188:302.62:1492559:4.55:42,227:300.84:1110020:3.3:290,282:300.5:1439161:2.84:95,317:302.9:1514298:4.2:137,290:304.59:1255483:5.0:165,279:303.66:1613590:4.1:145,291:304.54:1241527:4.43:63,273:302.24:1760759:3.15:231,382:300.66:1153090:2.36:442,626:300.27:1302385:1.78:216,[723:299.31:1277135:0.95:685
COST_112919C305,226.0,231:297.05,233:296.5,469:298.94,495:295.86,495:299.59,500:297.11,488.0,495:296.82,502:299.18,528:301.57,559:305.21:2399347:4.65:200,593:302.62:1492559:3.16:316,822:300.84:1110020:2.21:583,1079:300.5:1439161:2.04:856,1354:302.9:1514298:2.77:721,1089:304.59:1255483:3.65:414,1108:303.66:1613590:2.76:486,1291:304.54:1241527:3.05:527,1242:302.24:1760759:2.03:1158,1792:300.66:1153090:1.42:5396,4900:300.27:1302385:0.97:2162,[5200:299.31:1277135:0.38:3681
COST_112919C307.5,79.0,82:297.05,84:296.5,86:298.94,97:295.86,101:299.59,110:297.11,109.0,108:296.82,106:299.18,101:301.57,102:305.21:2399347:3.27:260,214:302.62:1492559:2.31:11,219:300.84:1110020:1.45:72,255:300.5:1439161:1.12:50,271:302.9:1514298:1.8:143,380:304.59:1255483:2.27:560,574:303.66:1613590:1.77:203,638:304.54:1241527:1.85:290,687:302.24:1760759:1.19:252,778:300.66:1153090:0.89:484,837:300.27:1302385:0.49:116,[843:299.31:1277135:0.18:713
COST_112919C310,545.0,3007:297.05,3098:296.5,3145:298.94,3148:295.86,3158:299.6057,3147:297.11,3155.0,3143:296.82,3137:299.18,3114:301.57,3086:305.21:2399347:2.46:514,2764:302.62:1492559:1.55:107,2736:300.84:1110020:0.87:53,2738:300.5:1439161:0.79:84,2728:302.9:1514298:1.15:243,2721:304.59:1255483:1.5:1117,3020:303.66:1613590:1.06:538,2954:304.54:1241527:1.15:2181,2291:302.24:1760759:0.65:434,2266:300.66:1153090:0.44:910,2128:300.27:1302385:0.23:245,[2167:299.31:1277135:0.09:420
COST_112919C312.5,67.0,68:297.05,88:296.5,103:298.94,103:295.86,103:299.62,106:297.11,105.0,106:296.82,110:299.18,109:301.57,112:305.21:2399347:1.73:25,119:302.62:1492559:0.99:90,154:300.84:1110020:0.51:46,172:300.5:1439161:0.43:19,177:302.9:1514298:0.62:47,192:304.59:1255483:0.9:81,212:303.66:1613590:0.6:16,213:304.54:1241527:0.62:133,243:302.24:1760759:0.35:51,267:300.66:1153090:0.25:80,266:300.27:1302385:0.12:67,[312:299.31:1277135:0.08:521
COST_112919C315,133.0,137:297.05,149:296.5,151:298.94,153:295.86,158:299.62,157:297.11,159.0,159:296.82,161:299.18,149:301.57,152:305.21:2399347:0.98:61,147:302.62:1492559:0.59:15,145:300.84:1110020:0.28:36,152:300.5:1439161:0.19:32,172:302.9:1514298:0.43:21,179:304.59:1255483:0.5:38,191:303.66:1613590:0.35:44,198:304.54:1241527:0.31:99,218:302.24:1760759:0.17:35,225:300.66:1153090:0.14:67,264:300.27:1302385:0.04:61,[256:299.31:1277135:0.03:40
COST_112919C317.5,20.0,22:297.05,25:296.5,25:298.94,27:295.86,33:299.62,37:297.11,37.0,37:296.82,50:299.18,53:301.57,53:305.21:2399347:0.6:37,57:302.62:1492559:0.31:5,58:300.84:1110020:0.16:7,53:300.5:1439161:0.11:14,59:302.9:1514298:0.21:82,124:304.59:1255483:0.31:23,146:303.66:1613590:0.21:3,148:304.54:1241527:0.15:40,164:302.24:1760759:0.1:14,172:300.66:1153090:0.05:5,173:300.27:1302385:0.04:3,[173:299.31:1277135:0.03:1
COST_112919C320,92.0,92:297.05,86:296.5,71:298.94,72:295.86,78:299.61,84:297.11,83.0,82:296.82,82:299.18,81:301.57,89:305.21:2399347:0.57:16,81:302.62:1492559:0.19:7,81:300.84:1110020:0.09:52,131:300.5:1439161:0.08:7,127:302.9:1514298:0.1:13,135:304.59:1255483:0.14:7,140:303.66:1613590:0.11:17,147:304.54:1241527:0.09:75,142:302.24:1760759:0.09:0,142:300.66:1153090:0.01:1,141:300.27:1302385:0.01:0,[141:299.31:1277135:0.01:3
COST_122019C250,0.0,0:297.05,0:296.5,0:298.94,1:295.86,2:299.61,3:297.11,3.0,3:296.82,3:299.18,3:301.57,3:305.21:2399347:48.0:0,3:302.62:1492559:48.0:0,3:300.84:1110020:48.0:0,3:300.5:1439161:48.0:0,3:302.9:1514298:48.0:0,3:304.59:1255483:48.0:0,3:303.66:1613590:48.0:0,U:304.54:1241527::,3:302.24:1760759:54.05:20,23:300.66:1153090:54.05:0,23:300.27:1302385:50.6:1,22:299.31:1277135:50.6:0
COST_122019C255,0.0,0:297.05,0:296.5,0:298.94,0:295.86,0:299.61,0:297.11,0.0,0:296.82,0:299.18,0:301.57,0:305.21:2399347:0.0:0,0:302.62:1492559:0.0:0,0:300.84:1110020:0.0:0,0:300.5:1439161:0.0:0,0:302.9:1514298:0.0:0,0:304.59:1255483:0.0:0,0:303.66:1613590:0.0:0,U:304.54:1241527::,0:302.24:1760759:0.0:0,0:300.66:1153090:0.0:0,0:300.27:1302385:0.0:0,0:299.31:1277135:0.0:0
COST_122019C260,0.0,1:297.05,1:296.5,1:298.94,1:295.86,1:299.63,1:297.11,1.0,1:296.82,5:299.18,5:301.57,5:305.21:2399347:38.03:0,5:302.62:1492559:38.03:0,5:300.84:1110020:38.03:0,5:300.5:1439161:38.03:0,5:302.9:1514298:38.03:0,5:304.59:1255483:38.03:0,5:303.66:1613590:38.03:0,5:304.54:1241527:38.03:0,5:302.24:1760759:38.03:0,5:300.66:1153090:38.03:0,5:300.27:1302385:38.03:0,5:299.31:1277135:38.03:0
