Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
JBL_112919C40.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,U:75.43:212417::,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_112919C41,2:38.45,2:38.93,12:39.12,12:39.18:1975398:0.29:0,12:39.26:834553:0.29:0,12:39.59:870370:0.26:40,52:39.1:1020665:0.26:0,52:39.34:929455:0.15:55,105:38.69:1013846:0.1:45,150:39.02:1174741:0.1:50,200:75.43:212417:0.05:15,215:38.73:1214584:0.05:0,215:38.94:770105:0.05:0,215:38.76:1014804:0.05:0,[215:38.64:777620:0.05:0
JBL_112919C41.5,0:38.45,0:38.93,0:39.12,100:39.18:1975398:0.2:0,100:39.26:834553:0.2:0,100:39.59:870370:0.2:0,100:39.1:1020665:0.2:0,100:39.34:929455:0.2:0,100:38.69:1013846:0.2:0,100:39.02:1174741:0.2:0,100:75.43:212417:0.2:0,100:38.73:1214584:0.2:0,100:38.94:770105:0.2:0,100:38.76:1014804:0.2:0,[100:38.64:777620:0.2:0
JBL_112919C42,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,U:75.43:212417::,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_112919C42.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,U:75.43:212417::,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_112919C43.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_120619C33.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,U:75.43:212417::,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,0:38.64:777620:0.0:0
JBL_120619C34,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_120619C34.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_120619C35,10:38.45,10:38.93,10:39.12,10:39.18:1975398:2.89:0,10:39.26:834553:2.89:0,10:39.59:870370:2.89:0,10:39.1:1020665:2.89:0,10:39.34:929455:2.89:0,10:38.69:1013846:2.89:0,10:39.02:1174741:2.89:0,U:75.43:212417::,10:38.73:1214584:2.89:0,10:38.94:770105:2.89:0,10:38.76:1014804:2.89:0,[10:38.64:777620:2.89:0
JBL_120619C35.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,0:75.43:212417:0.0:0,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_120619C36,1:38.45,1:38.93,1:39.12,1:39.18:1975398:1.79:0,1:39.26:834553:1.79:0,1:39.59:870370:1.79:0,1:39.1:1020665:1.79:0,1:39.34:929455:3.15:1,1:38.69:1013846:3.15:0,1:39.02:1174741:3.15:0,1:75.43:212417:3.15:0,1:38.73:1214584:3.15:0,1:38.94:770105:3.15:0,1:38.76:1014804:3.15:0,[1:38.64:777620:3.15:0
JBL_120619C36.5,0:38.45,0:38.93,0:39.12,0:39.18:1975398:0.0:0,0:39.26:834553:0.0:0,0:39.59:870370:0.0:0,0:39.1:1020665:0.0:0,0:39.34:929455:0.0:0,0:38.69:1013846:0.0:0,0:39.02:1174741:0.0:0,U:75.43:212417::,0:38.73:1214584:0.0:0,0:38.94:770105:0.0:0,0:38.76:1014804:0.0:0,[0:38.64:777620:0.0:0
JBL_120619C37,0:38.45,0:38.93,1:39.12,1:39.18:1975398:2.3:0,1:39.26:834553:2.3:0,1:39.59:870370:2.3:0,1:39.1:1020665:2.3:0,1:39.34:929455:2.3:0,1:38.69:1013846:2.3:0,1:39.02:1174741:2.3:0,1:75.43:212417:2.3:0,1:38.73:1214584:2.3:0,1:38.94:770105:2.3:0,1:38.76:1014804:2.3:0,[1:38.64:777620:2.3:0
JBL_120619C37.5,8:38.45,8:38.93,8:39.12,8:39.18:1975398:1.15:0,8:39.26:834553:1.15:0,8:39.59:870370:1.15:0,8:39.1:1020665:1.15:0,8:39.34:929455:1.15:0,8:38.69:1013846:1.15:0,8:39.02:1174741:1.15:0,U:75.43:212417::,8:38.73:1214584:1.7:1,9:38.94:770105:1.7:0,9:38.76:1014804:1.7:0,[9:38.64:777620:1.7:0
