Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
UBER_112919P31.5,97:27.01:44941622:4.61:0,97:27.14:41300937:4.61:0,97:26.7:32448063:4.61:0,97:26.71:33124982:5.1:2,97:25.99:27991933:5.1:0,96:26.79:41353173:4.85:5,96:26.75:37309667:4.85:0,96:28.03:52741127:4.85:0,96:29.46:55638958:2.25:1,[96:29.56:44372725:1.7:1
UBER_112919P32,368:27.01:44941622:4.7:45,341:27.14:41300937:5.0:12,331:26.7:32448063:4.8:1,330:26.71:33124982:4.8:0,316:25.99:27991933:4.8:0,315:26.79:41353173:4.8:0,315:26.75:37309667:4.8:0,315:28.03:52741127:3.9:2,313:29.46:55638958:3.9:0,[313:29.56:44372725:2.41:6
UBER_120619P20,31:27.01:44941622:0.1:0,31:27.14:41300937:0.1:0,31:26.7:32448063:0.1:0,31:26.71:33124982:0.1:0,31:25.99:27991933:0.1:0,31:26.79:41353173:0.05:4,35:26.75:37309667:0.05:0,35:28.03:52741127:0.05:0,35:29.46:55638958:0.05:0,35:29.56:44372725:0.05:0
UBER_120619P21,20:27.01:44941622:0.13:1,21:27.14:41300937:0.07:9,30:26.7:32448063:0.04:2,31:26.71:33124982:0.05:1,32:25.99:27991933:0.05:0,32:26.79:41353173:0.05:0,32:26.75:37309667:0.05:0,32:28.03:52741127:0.01:0,32:29.46:55638958:0.01:0,32:29.56:44372725:0.01:0
UBER_120619P22,83:27.01:44941622:0.1:10,93:27.14:41300937:0.08:3,94:26.7:32448063:0.08:0,94:26.71:33124982:0.07:2,94:25.99:27991933:0.07:0,94:26.79:41353173:0.05:37,118:26.75:37309667:0.05:10,131:28.03:52741127:0.02:5,136:29.46:55638958:0.02:0,136:29.56:44372725:0.02:0
UBER_120619P23,13:27.01:44941622:0.4:0,13:27.14:41300937:0.15:12,22:26.7:32448063:0.15:0,22:26.71:33124982:0.18:1,22:25.99:27991933:0.17:1,22:26.79:41353173:0.1:34,50:26.75:37309667:0.09:3,50:28.03:52741127:0.03:1,50:29.46:55638958:0.03:0,50:29.56:44372725:0.03:0
UBER_120619P24,26:27.01:44941622:0.45:0,26:27.14:41300937:0.27:2,28:26.7:32448063:0.25:44,69:26.71:33124982:0.32:13,79:25.99:27991933:0.35:2,79:26.79:41353173:0.17:14,86:26.75:37309667:0.15:8,102:28.03:52741127:0.05:24,113:29.46:55638958:0.03:10,103:29.56:44372725:0.03:0
UBER_120619P25,1924:27.01:44941622:0.45:73,1925:27.14:41300937:0.45:34,1928:26.7:32448063:0.45:38,1934:26.71:33124982:0.45:48,1937:25.99:27991933:0.64:62,1960:26.79:41353173:0.4:164,2074:26.75:37309667:0.35:175,2237:28.03:52741127:0.12:89,2246:29.46:55638958:0.02:162,[2149:29.56:44372725:0.05:89
UBER_120619P25.5,1049:27.01:44941622:0.6:34,1059:27.14:41300937:0.6:38,1091:26.7:32448063:0.55:41,1080:26.71:33124982:0.65:119,1065:25.99:27991933:0.82:41,1092:26.79:41353173:0.54:50,1124:26.75:37309667:0.5:29,1125:28.03:52741127:0.23:51,1093:29.46:55638958:0.08:48,[1095:29.56:44372725:0.05:59
UBER_120619P26,138:27.01:44941622:0.75:10,137:27.14:41300937:0.75:125,193:26.7:32448063:0.78:58,202:26.71:33124982:0.97:19,198:25.99:27991933:1.07:66,223:26.79:41353173:0.71:64,220:26.75:37309667:0.61:58,2988:28.03:52741127:0.28:2990,5827:29.46:55638958:0.09:93,[2991:29.56:44372725:0.09:11
